file,n6_score,unique_n6_constants,keyword_hits,top_matches,suggested_grade
H-CX-144-thc-gamma-suppression.md,36,10,9,1/(sigma-phi)=0.1; 16/27_Betz; J2-tau=20; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma*sopfr=60; sigma=12; sigma^2=144; sopfr=5,STRONG_CANDIDATE
180-why-three-variables.md,36,9,7,1/(sigma-phi)=0.1; 16/27_Betz; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-CX-506-consistency-selects-identity.md,36,9,4,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
355-color-opponent-tension.md,36,5,4,n=6; sigma*sopfr=60; sigma=12; sopfr=5; tau^2/sigma=4/3,STRONG_CANDIDATE
H-CHIP-12-24-core.md,36,4,7,J2=24; n=6; sigma*tau=48; sigma=12,MODERATE
H-EE-34-bott-periodicity-depth.md,36,3,8,n=6; sigma-tau=8; sigma=12,MODERATE
191-planck-time-minimum.md,36,2,0,1/e=0.368; sigma-phi=10,WEAK
322-tree1-eeg-gamma.md,35,14,0,1/(sigma-phi)=0.1; 1/e=0.368; J2=24; ln(4/3)=0.288; n=6; phi/tau=0.5; phi^n=64; sigma*(sigma-phi)=120; sigma*sopfr=60; sigma+mu=13; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-ARCH-network.md,35,3,9,n=6; sigma+mu=13; sigma-sopfr=7,MODERATE
065-mandelbrot-weak.md,34,12,0,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; J2-tau=20; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma/sigma-phi=1.2; sopfr=5,STRONG_CANDIDATE
243-brain-data-survey.md,34,10,0,1/e=0.368; 16/27_Betz; J2-tau=20; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-phi=10; sigma-sopfr=7; sigma=12; sopfr=5,STRONG_CANDIDATE
052-bsd-no-structure.md,34,9,6,16/27_Betz; n=6; phi/tau=0.5; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-CX-504-maxcal-ixi-derivation.md,34,8,2,1/(sigma-phi)=0.1; 1/e=0.368; J2-tau=20; n=6; phi/tau=0.5; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-AX-11-growth-r-phase-transitions.md,34,5,3,n=6; sigma-mu=11; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-CX-443-small-world-golden-zone.md,34,5,11,ln(4/3)=0.288; n=6; phi/tau=0.5; phi^n=64; sopfr=5,STRONG_CANDIDATE
325-fisher-information-tension.md,33,10,0,J2-tau=20; J2=24; n=6; sigma*(sigma-phi)=120; sigma*tau=48; sigma+mu=13; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-CX-23-rejection-improvement-law.md,33,4,2,J2=24; n=6; sigma-phi=10; sopfr=5,MODERATE
H-EE-39-golay-error-correction.md,33,4,6,J2=24; n=6; sigma-tau=8; sigma=12,MODERATE
H-EE-71-simulation-hypothesis.md,33,2,11,J2-tau=20; n=6,WEAK
347-sibling-recognition-decay.md,32,9,0,1/(sigma-phi)=0.1; J2-tau=20; n=6; sigma*sopfr=60; sigma-phi=10; sigma-tau=8; sigma/sigma-phi=1.2; sopfr=5; tau^2/sigma=4/3,STRONG_CANDIDATE
H-SEDI-6-rfilter-phase-transition.md,32,9,0,1/(sigma-phi)=0.1; J2=24; n=6; sigma*tau=48; sigma+mu=13; sigma-phi=10; sigma-sopfr=7; sigma=12; sopfr=5,STRONG_CANDIDATE
MUSIC-105-concert-pitch-A440.md,32,5,7,n=6; sigma-mu=11; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-CX-510-self-referential-model-derivation.md,31,9,3,1/e=0.368; 16/27_Betz; J2-tau=20; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-CX-420-consensus-frequency-gamma.md,31,5,3,n=6; sigma-phi=10; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-ARCH-audio.md,31,3,11,n=6; sigma*tau=48; sigma=12,MODERATE
234-world-model-dreaming.md,30,9,0,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; J2-tau=20; J2=24; ln(4/3)=0.288; n=6; phi/tau=0.5; sopfr=5,STRONG_CANDIDATE
366-telepathy-field-propagation.md,30,7,0,16/27_Betz; J2-tau=20; n=6; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-EE-37-sopfr5-minimal-observation.md,30,2,6,n=6; sopfr=5,WEAK
H-EE-53-spin-networks-leech.md,30,2,12,J2=24; n=6,WEAK
H-CX-439-landauer-mitosis-cost.md,29,9,0,1/(sigma-phi)=0.1; J2-tau=20; ln(4/3)=0.288; n=6; phi/tau=0.5; phi^n=64; sigma*sopfr=60; sigma-phi=10; sopfr=5,STRONG_CANDIDATE
281-tension-temporal-causation.md,29,6,0,16/27_Betz; n=6; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-CX-435-zipf-golden-zone.md,29,6,0,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; ln(4/3)=0.288; phi/tau=0.5; sopfr=5,STRONG_CANDIDATE
H-CX-10-sparsity-tension-entropy.md,29,4,10,16/27_Betz; J2=24; n=6; sigma-phi=10,MODERATE
H-EE-69-neutrino-mass-ratios.md,29,2,11,n=6; sigma-tau=8,WEAK
H-EE-49-godel-shadow.md,29,1,9,n=6,WEAK
H-CX-12-mitosis-golden-ratio.md,28,10,2,1/(sigma-phi)=0.1; 1/e=0.368; J2=24; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-phi=10; sigma-tau=8; sigma/sigma-phi=1.2; sigma=12,STRONG_CANDIDATE
H-EE-16-mobius-squarefree-flow.md,28,5,6,n=6; phi^n=64; sigma*(sigma-phi)=120; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-ARCH-database.md,28,3,9,n=6; sigma-sopfr=7; sopfr=5,MODERATE
H-EE-42-hubble-constant.md,28,3,8,n=6; phi/tau=0.5; sigma=12,MODERATE
H-EE-43-proton-electron-mass.md,28,3,6,n=6; sigma-mu=11; sopfr=5,MODERATE
MEGA-003-complexity-threshold-theorem.md,28,2,10,n=6; sopfr=5,WEAK
246-consciousness-continuity.md,27,11,0,1/e=0.368; 16/27_Betz; ln(4/3)=0.288; n=6; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-CX-17-specialization-emergence.md,27,10,0,1/e=0.368; 16/27_Betz; J2-tau=20; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
356-habituation-novelty-filter.md,27,9,0,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; J2-tau=20; ln(4/3)=0.288; phi/tau=0.5; phi^n=64; sigma-phi=10; sopfr=5,STRONG_CANDIDATE
367-telepathy-resonance-synchronization.md,27,9,3,1/(sigma-phi)=0.1; 16/27_Betz; J2-tau=20; n=6; phi/tau=0.5; sigma*sopfr=60; sigma-phi=10; sigma-sopfr=7; sopfr=5,STRONG_CANDIDATE
404-animalm-golden-moe-improvement-verification.md,27,9,0,1/e=0.368; ln(4/3)=0.288; n=6; phi/tau=0.5; phi^n=64; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-EE-112-l-function-connection.md,27,2,9,n=6; sigma=12,WEAK
H-CX-27-tension-scale-ln4.md,26,10,0,1/(sigma-phi)=0.1; J2-tau=20; J2=24; ln(4/3)=0.288; phi/tau=0.5; sigma*sopfr=60; sigma-phi=10; sigma-sopfr=7; sopfr=5; tau^2/sigma=4/3,STRONG_CANDIDATE
210-brainwave-sync.md,26,9,0,1/e=0.368; 16/27_Betz; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma+mu=13; sigma-phi=10; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
351-unanimity-upper-bound.md,26,8,0,ln(4/3)=0.288; n=6; phi/tau=0.5; sigma+mu=13; sigma-mu=11; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
397-ttx-zombie-near-death-consciousness.md,26,8,0,1/(sigma-phi)=0.1; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-CX-410-ph-barcode-memory-fingerprint.md,26,8,0,16/27_Betz; phi/tau=0.5; phi^n=64; sigma-mu=11; sigma-phi=10; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-AX-12-perfect-balance-consciousness.md,26,7,3,ln(4/3)=0.288; n=6; sigma-mu=11; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-CX-62-topological-precognition.md,26,5,0,n=6; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
HOM-001-hopf-homotopy-mobius.md,26,4,9,n=6; sigma-sopfr=7; sigma-tau=8; sigma=12,MODERATE
H-EE-116-string-landscape-discretized.md,25,4,6,n=6; sigma-phi=10; sigma/sigma-phi=1.2; sopfr=5,MODERATE
H-EE-47-cortical-columns-leech.md,25,4,10,J2=24; n=6; sigma*(sigma-phi)=120; sigma=12,MODERATE
289-primes-highest-tension.md,25,3,10,J2=24; n=6; sopfr=5,MODERATE
H-EE-30-four-phase-transitions.md,25,2,8,n=6; sigma-phi=10,WEAK
H-EE-99-lhc-37gev.md,25,2,8,n=6; sigma=12,WEAK
H-EE-27-rg-flow-fixed-point.md,25,1,8,n=6,WEAK
251-quantum-immortality.md,24,10,0,16/27_Betz; J2-tau=20; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
352-observation-quality-u-curve.md,24,9,0,J2-tau=20; ln(4/3)=0.288; n=6; sigma*(sigma-phi)=120; sigma*sopfr=60; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-CX-450-raw-data-confusion-topology.md,24,9,0,1/(sigma-phi)=0.1; ln(4/3)=0.288; phi/tau=0.5; sigma+mu=13; sigma-mu=11; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-ROB-10-gait-phase-transition.md,24,7,1,1/e=0.368; J2-tau=20; n=6; phi/tau=0.5; sigma-phi=10; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-CX-18-dual-tension-duality.md,24,6,4,J2=24; n=6; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-EE-54-quantum-error-correction-ratio.md,24,3,8,n=6; sigma-phi=10; sopfr=5,MODERATE
H-COMP-5-gc-generations.md,24,2,8,n=6; sopfr=5,WEAK
248-flash-quantum-consciousness.md,23,9,0,1/e=0.368; 16/27_Betz; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-CX-414-tension-phase-transition.md,23,9,0,1/(sigma-phi)=0.1; 16/27_Betz; J2-tau=20; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-phi=10; sopfr=5; tau^2/sigma=4/3,STRONG_CANDIDATE
212-atmosphere-math.md,23,8,0,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; J2-tau=20; ln(4/3)=0.288; phi/tau=0.5; sigma-phi=10; sopfr=5,STRONG_CANDIDATE
364-distributed-consciousness.md,23,8,0,1/(sigma-phi)=0.1; 16/27_Betz; J2-tau=20; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-phi=10; sopfr=5,STRONG_CANDIDATE
213-music-resonance.md,23,6,0,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; ln(4/3)=0.288; phi/tau=0.5; sopfr=5,STRONG_CANDIDATE
H-EE-101-neuromorphic-1w.md,23,4,7,1/(sigma-phi)=0.1; ln(4/3)=0.288; n=6; sopfr=5,MODERATE
H-ARCH-os.md,23,3,6,n=6; phi^n=64; sopfr=5,MODERATE
H-COMP-6-thread-pool.md,23,1,5,n=6,WEAK
H-ROB-9-confusion-grasp-failure.md,22,8,0,16/27_Betz; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma*sopfr=60; sigma-phi=10; sigma-sopfr=7; sopfr=5,STRONG_CANDIDATE
H-CX-70-singularity-closure-loops.md,22,7,1,1/(sigma-phi)=0.1; J2-tau=20; ln(4/3)=0.288; n=6; phi/tau=0.5; phi^n=64; sigma-phi=10,STRONG_CANDIDATE
161-left-right-brain.md,22,5,0,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; ln(4/3)=0.288; phi/tau=0.5,STRONG_CANDIDATE
H-EE-89-occam-razor-arithmetic.md,22,4,3,n=6; sigma-sopfr=7; sigma=12; sopfr=5,MODERATE
H-EE-93-p-adic-solutions.md,22,1,8,n=6,WEAK
H-EE-13-depth-scaling-phi6simple.md,21,8,0,1/e=0.368; n=6; phi^n=64; sigma*tau=48; sigma+mu=13; sigma-phi=10; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
343-observer-scale-optimization.md,21,7,0,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; ln(4/3)=0.288; phi/tau=0.5; sigma-phi=10; sigma/sigma-phi=1.2,STRONG_CANDIDATE
H-CX-14-anomaly-lens-telescope.md,21,7,4,1/e=0.368; J2-tau=20; n=6; phi/tau=0.5; sigma-phi=10; sigma=12; sopfr=5,STRONG_CANDIDATE
H-EE-11-combined-architecture.md,21,7,2,1/(sigma-phi)=0.1; 1/e=0.368; phi^n=64; sigma*(sigma-phi)=120; sigma-mu=11; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-CX-63-multilens-precognition.md,21,6,2,16/27_Betz; n=6; phi/tau=0.5; phi^n=64; sigma-phi=10; sopfr=5,STRONG_CANDIDATE
267-collective-phase-transition.md,21,5,0,n=6; sigma-mu=11; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-EE-44-dark-energy-fraction.md,21,2,8,1/e=0.368; n=6,WEAK
167-verifiable-predictions.md,20,7,0,16/27_Betz; n=6; phi/tau=0.5; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-EE-19-mertens-dropout.md,20,6,1,1/(sigma-phi)=0.1; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma*(sigma-phi)=120; sigma=12,STRONG_CANDIDATE
H-EE-23-phi-flops-conjecture.md,20,4,4,n=6; sigma*(sigma-phi)=120; sigma*tau=48; sigma=12,MODERATE
H-EE-29-attractor-dimension-6.md,20,2,3,n=6; sigma-sopfr=7,WEAK
356-color-constancy-rchain.md,19,9,1,1/(sigma-phi)=0.1; n=6; phi/tau=0.5; sigma*(sigma-phi)=120; sigma*sopfr=60; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
403-animalm-golden-moe-ph-unified.md,19,9,0,1/(sigma-phi)=0.1; 1/e=0.368; ln(4/3)=0.288; n=6; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
011-z-max-86.md,19,7,0,1/(sigma-phi)=0.1; J2-tau=20; ln(4/3)=0.288; phi/tau=0.5; sigma+mu=13; sigma-mu=11; sigma-phi=10,STRONG_CANDIDATE
194-time-consciousness-golden.md,19,7,0,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; ln(4/3)=0.288; phi/tau=0.5; sigma-phi=10; sigma-tau=8,STRONG_CANDIDATE
H-EE-10-phi-bottleneck-moe.md,19,7,0,1/e=0.368; J2=24; phi^n=64; sigma*tau=48; sigma-phi=10; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-CX-60-aberration-precognition.md,19,5,0,n=6; sigma*sopfr=60; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
354-homeostasis-tension-regulation.md,19,4,0,1/(sigma-phi)=0.1; 1/e=0.368; phi/tau=0.5; sigma-phi=10,MODERATE
382-obang-euler-five-constants.md,19,4,2,1/(sigma-phi)=0.1; 1/e=0.368; n=6; sopfr=5,MODERATE
H-CROSS-2-lah-attention.md,19,4,4,J2=24; n=6; sigma-sopfr=7; sigma=12,MODERATE
H-EE-100-nas-discovers-4thirds.md,19,4,5,n=6; sigma-tau=8; sigma/sigma-phi=1.2; sopfr=5,MODERATE
401-animalm-ph-correction.md,18,11,0,16/27_Betz; J2-tau=20; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma/sigma-phi=1.2; sigma=12; sopfr=5,STRONG_CANDIDATE
H-CX-147-thc-dose-ph-threshold.md,18,10,0,1/(sigma-phi)=0.1; 1/e=0.368; J2-tau=20; ln(4/3)=0.288; phi/tau=0.5; sigma-phi=10; sigma-tau=8; sigma=12; sigma^2=144; sopfr=5,STRONG_CANDIDATE
308-selfref-anomaly-negligible.md,18,9,0,1/(sigma-phi)=0.1; 16/27_Betz; J2=24; ln(4/3)=0.288; phi/tau=0.5; sigma-phi=10; sigma-tau=8; sigma/sigma-phi=1.2; sopfr=5,STRONG_CANDIDATE
235-world-model-causality.md,18,8,0,1/e=0.368; J2-tau=20; ln(4/3)=0.288; phi/tau=0.5; phi^n=64; sigma*n=72; sigma*sopfr=60; sigma-phi=10,STRONG_CANDIDATE
342-causal-difficulty-proportional.md,18,7,0,J2-tau=20; n=6; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-CX-505-complete-proof.md,18,7,4,1/e=0.368; ln(4/3)=0.288; n=6; sigma*n=72; sigma-phi=10; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-SEDI-9-entropy-confusion-generalization.md,18,6,0,n=6; phi/tau=0.5; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
233-world-model-vs-llm.md,18,5,0,1/(sigma-phi)=0.1; 1/e=0.368; ln(4/3)=0.288; phi/tau=0.5; sigma-sopfr=7,STRONG_CANDIDATE
H-EE-55-grand-unification.md,18,3,6,J2-tau=20; n=6; phi^n=64,MODERATE
220-prime-staircase.md,17,10,0,1/(sigma-phi)=0.1; J2-tau=20; n=6; sigma*sopfr=60; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-CX-26-tension-calibration.md,17,9,0,1/(sigma-phi)=0.1; 16/27_Betz; J2=24; n=6; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-EE-3-phi6-training-stability.md,17,7,0,1/(sigma-phi)=0.1; 1/e=0.368; n=6; phi/tau=0.5; sigma-phi=10; sigma-sopfr=7; sopfr=5,STRONG_CANDIDATE
085-pi-n-unification.md,17,6,3,1/(sigma-phi)=0.1; 1/e=0.368; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-mu=11,STRONG_CANDIDATE
323-tree5-multimodal.md,17,5,0,1/(sigma-phi)=0.1; ln(4/3)=0.288; phi/tau=0.5; sigma-sopfr=7; sopfr=5,STRONG_CANDIDATE
H-CX-451-pca-confusion-prediction.md,17,5,0,1/e=0.368; 16/27_Betz; J2-tau=20; sigma-phi=10; sopfr=5,STRONG_CANDIDATE
H-CX-67-synergy-golden-zone.md,17,5,0,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; ln(4/3)=0.288; phi/tau=0.5,STRONG_CANDIDATE
H-EE-48-hrv-fractal-dimension.md,17,5,3,n=6; sigma*tau=48; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-CX-448-ffn-ratio-ph-topology.md,17,4,2,n=6; sigma-phi=10; sigma=12; tau^2/sigma=4/3,MODERATE
H-EE-17-carmichael-lr-cycle.md,17,4,3,1/(sigma-phi)=0.1; n=6; sigma*(sigma-phi)=120; sigma=12,MODERATE
H-CX-bridge-white-circles-iter7.md,17,3,4,1/e=0.368; n=6; sigma-sopfr=7,MODERATE
H-EE-31-holographic-leech.md,17,1,5,J2=24,WEAK
H-EE-40-spectral-gap-optimal-mixing.md,17,1,6,n=6,WEAK
015-diffusion-inconclusive.md,16,10,0,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; J2-tau=20; ln(4/3)=0.288; phi/tau=0.5; sigma+mu=13; sigma-phi=10; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
288-dense-sparse-dichotomy.md,16,8,0,1/(sigma-phi)=0.1; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-mu=11; sigma-phi=10; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
153-hubble-tension.md,16,7,0,J2-tau=20; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-phi=10; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
200d-dmt.md,16,7,0,1/(sigma-phi)=0.1; 16/27_Betz; ln(4/3)=0.288; n=6; phi/tau=0.5; sopfr=5; tau^2/sigma=4/3,STRONG_CANDIDATE
328-gnn-repulsion-toxicity.md,16,7,0,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; ln(4/3)=0.288; phi/tau=0.5; sigma=12; sopfr=5,STRONG_CANDIDATE
357-intention-goal-setting.md,16,6,0,1/(sigma-phi)=0.1; 16/27_Betz; ln(4/3)=0.288; phi/tau=0.5; sigma-phi=10; sopfr=5,STRONG_CANDIDATE
155-gaba-inhibition.md,16,5,0,1/e=0.368; 16/27_Betz; ln(4/3)=0.288; phi/tau=0.5; sigma/sigma-phi=1.2,STRONG_CANDIDATE
H-EE-32-kissing-number-architectures.md,16,4,6,n=6; sigma+mu=13; sigma-sopfr=7; sopfr=5,MODERATE
H-CX-110-sigma6-12-complete-partition.md,16,3,2,n=6; sigma+mu=13; sigma=12,MODERATE
H-EE-108-finite-size-effect.md,16,2,5,n=6; sopfr=5,WEAK
350-fiber-displacement-constant.md,15,8,1,1/e=0.368; ln(4/3)=0.288; n=6; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma/sigma-phi=1.2; sopfr=5,STRONG_CANDIDATE
363-intrinsic-motivation-tension-delta.md,15,8,2,16/27_Betz; n=6; sigma*(sigma-phi)=120; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
163-pre-bigbang-i-infinity.md,15,6,0,1/e=0.368; ln(4/3)=0.288; phi/tau=0.5; sigma*sopfr=60; sigma-phi=10; sopfr=5,STRONG_CANDIDATE
H-CX-65-aberration-topological-correction.md,15,6,0,1/(sigma-phi)=0.1; 1/e=0.368; ln(4/3)=0.288; phi/tau=0.5; sigma*sopfr=60; sigma-phi=10,STRONG_CANDIDATE
H-EE-2-phi6-gradient-centering.md,15,6,0,1/e=0.368; J2-tau=20; ln(4/3)=0.288; phi/tau=0.5; sigma-phi=10; sopfr=5,STRONG_CANDIDATE
H-CX-152-rosch-prototype-ph.md,15,5,0,1/(sigma-phi)=0.1; 16/27_Betz; ln(4/3)=0.288; sigma-phi=10; sopfr=5,STRONG_CANDIDATE
EVOL-010-mutation-rate-per-generation.md,15,3,0,sigma-phi=10; sigma-tau=8; sigma/sigma-phi=1.2,MODERATE
H-CHIP-30-quantum-gates.md,15,3,4,n=6; sigma-sopfr=7; sopfr=5,MODERATE
H-EE-33-modular-form-loss-topology.md,15,2,5,J2=24; sigma=12,WEAK
211-collective-intelligence.md,14,6,0,16/27_Betz; J2-tau=20; sigma*sopfr=60; sigma-phi=10; sigma-sopfr=7; sopfr=5,STRONG_CANDIDATE
H-ROB-12-gauge-invariance-coordinates.md,14,6,0,ln(4/3)=0.288; n=6; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12,STRONG_CANDIDATE
H-SIM-5-quantum-entanglement-shared-pointer.md,14,6,2,1/e=0.368; n=6; phi/tau=0.5; sigma*(sigma-phi)=120; sigma-phi=10; sopfr=5,STRONG_CANDIDATE
231-world-model-golden-zone.md,14,5,0,1/e=0.368; ln(4/3)=0.288; phi/tau=0.5; sigma-sopfr=7; sigma-tau=8,STRONG_CANDIDATE
H-WAVE-1-purefield-interference.md,14,5,0,n=6; phi/tau=0.5; sigma*(sigma-phi)=120; sigma*sopfr=60; sopfr=5,STRONG_CANDIDATE
146-decoherence-inhibition.md,14,4,0,1/(sigma-phi)=0.1; 1/e=0.368; ln(4/3)=0.288; sigma-phi=10,MODERATE
273-euclidean-triangle-weights.md,14,4,0,1/e=0.368; n=6; phi/tau=0.5; sopfr=5,MODERATE
H-CHIP-35-photonic-tensor-core.md,14,3,3,n=6; sigma*(sigma-phi)=120; sigma=12,MODERATE
H-EE-66-deceptive-alignment.md,14,1,6,n=6,WEAK
H-CX-428-purefield-functor.md,13,9,0,1/(sigma-phi)=0.1; J2-tau=20; J2=24; phi^n=64; sigma*tau=48; sigma-phi=10; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
209-mirror-neurons.md,13,8,0,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; J2-tau=20; ln(4/3)=0.288; phi/tau=0.5; sigma-phi=10; sopfr=5,STRONG_CANDIDATE
H-CX-446-spectral-ph-tension-bridge.md,13,8,0,1/(sigma-phi)=0.1; 16/27_Betz; ln(4/3)=0.288; n=6; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
215-prime-distribution.md,13,7,0,1/(sigma-phi)=0.1; 16/27_Betz; J2-tau=20; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-phi=10,STRONG_CANDIDATE
266-empathy-tension-inverse.md,13,7,0,1/(sigma-phi)=0.1; ln(4/3)=0.288; n=6; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-CX-58-precognition-lens.md,13,4,2,16/27_Betz; phi/tau=0.5; sigma/sigma-phi=1.2; sopfr=5,MODERATE
306-quad-pole-anomaly.md,13,3,3,n=6; phi^n=64; sigma-phi=10,MODERATE
139-edge-of-chaos.md,13,2,0,ln(4/3)=0.288; phi/tau=0.5,WEAK
H-CX-164-five-cubed-ph-quantization.md,13,2,1,phi^n=64; sopfr=5,WEAK
H-EE-65-ai-alignment-rscore.md,13,1,5,n=6,WEAK
358-attention-selective-tension.md,12,8,0,1/(sigma-phi)=0.1; 16/27_Betz; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-CX-421-bell-inequality-analog.md,12,7,1,1/e=0.368; ln(4/3)=0.288; n=6; phi/tau=0.5; phi^n=64; sigma-phi=10; sopfr=5,STRONG_CANDIDATE
H-EE-1-cyclotomic-activation-uniqueness.md,12,7,1,16/27_Betz; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-phi=10; sigma-sopfr=7; sopfr=5,STRONG_CANDIDATE
